0.50000D+02,0.30228D-02,0.61133D-01,0.31679D-01,0.87090D-01,0.53098D-01,0.19343D-01,0.12755D-01,0.17318D-01,0.37098D-01,0.23807D-02,0.56041D-02,0.27839D-02,0.42360D-03,0.23148D-01,0.13880D-02,0.12470D-02,0.67855D-02,0.17247D-02,0.26586D-01,0.13766D-02,0.93199D-03,0.29701D-03,0.33738D-03,0.50165D-03,0.70031D-02,0.81631D-03,0.15902D-01,0.79619D-01,0.10319D-02,0.49239D-04,0.56855D-04,0.95719D-03,0.16372D-02,0.10910D-02,0.65418D-02,0.10023D-01,0.46170D-02,0.10952D-03,0.45846D-03,0.90951D-02,0.24425D-01,0.18426D-01,0.11007D-01,0.10717D-01,0.15692D-02,0.68707D-03,0.16140D-02,0.86208D-03,0.12986D-06,0.45567D-03,0.10375D-02,0.20201D-01
0.10000D+03,0.11698D-01,0.15362D+00,0.10409D+00,0.24906D+00,0.16563D+00,0.73135D-01,0.51465D-01,0.71341D-01,0.12526D+00,0.13513D-01,0.27924D-01,0.15347D-01,0.19821D-02,0.80508D-01,0.67489D-02,0.51916D-02,0.25306D-01,0.89185D-02,0.87890D-01,0.73086D-02,0.52917D-02,0.18897D-02,0.21601D-02,0.30871D-02,0.32468D-01,0.44958D-02,0.69043D-01,0.23721D+00,0.61007D-02,0.33653D-03,0.39627D-03,0.59932D-02,0.90495D-02,0.64533D-02,0.29080D-01,0.44774D-01,0.22811D-01,0.74216D-03,0.27057D-02,0.36012D-01,0.98433D-01,0.79056D-01,0.49721D-01,0.45575D-01,0.68909D-02,0.26514D-02,0.55565D-02,0.43920D-02,0.97894D-06,0.21220D-02,0.47778D-02,0.73709D-01
0.15000D+03,0.26902D-01,0.25487D+00,0.20345D+00,0.42501D+00,0.30427D+00,0.15947D+00,0.11948D+00,0.16530D+00,0.24493D+00,0.41824D-01,0.76821D-01,0.46406D-01,0.56056D-02,0.16408D+00,0.19218D-01,0.13041D-01,0.56009D-01,0.26355D-01,0.17136D+00,0.22132D-01,0.16902D-01,0.67001D-02,0.76523D-02,0.10550D-01,0.85079D-01,0.13968D-01,0.16615D+00,0.41683D+00,0.19979D-01,0.13219D-02,0.16067D-02,0.20389D-01,0.27891D-01,0.21244D-01,0.74306D-01,0.11289D+00,0.63328D-01,0.28442D-02,0.90426D-02,0.83900D-01,0.22179D+00,0.18755D+00,0.12468D+00,0.11080D+00,0.17971D-01,0.58504D-02,0.11237D-01,0.13055D-01,0.42577D-05,0.58673D-02,0.12888D-01,0.15314D+00
0.20000D+03,0.48592D-01,0.35562D+00,0.31140D+00,0.57416D+00,0.43598D+00,0.26516D+00,0.21032D+00,0.28639D+00,0.36966D+00,0.93606D-01,0.15475D+00,0.10191D+00,0.12499D-01,0.25984D+00,0.41738D-01,0.25810D-01,0.96492D-01,0.58226D-01,0.26211D+00,0.50002D-01,0.39862D-01,0.17401D-01,0.19775D-01,0.26380D-01,0.16594D+00,0.32146D-01,0.29534D+00,0.57575D+00,0.47800D-01,0.38682D-02,0.48154D-02,0.49963D-01,0.63244D-01,0.51143D-01,0.14302D+00,0.21199D+00,0.13009D+00,0.80004D-02,0.22345D-01,0.15056D+00,0.37198D+00,0.32817D+00,0.23097D+00,0.20280D+00,0.36468D-01,0.98324D-02,0.17705D-01,0.29485D-01,0.14282D-04,0.12594D-01,0.26730D-01,0.24172D+00
0.25000D+03,0.76624D-01,0.45142D+00,0.41517D+00,0.68624D+00,0.54475D+00,0.37559D+00,0.31301D+00,0.41617D+00,0.48304D+00,0.16979D+00,0.25577D+00,0.18198D+00,0.24155D-01,0.35692D+00,0.76352D-01,0.44399D-01,0.14351D+00,0.10673D+00,0.35105D+00,0.93533D-01,0.77245D-01,0.36863D-01,0.41580D-01,0.53808D-01,0.26865D+00,0.61008D-01,0.43595D+00,0.69966D+00,0.93224D-01,0.93020D-02,0.11722D-01,0.98779D-01,0.11771D+00,0.10024D+00,0.23031D+00,0.33097D+00,0.22050D+00,0.18309D-01,0.45319D-01,0.23035D+00,0.52208D+00,0.47650D+00,0.35483D+00,0.31144D+00,0.63684D-01,0.14131D-01,0.24336D-01,0.55916D-01,0.41126D-04,0.23180D-01,0.47247D-01,0.32594D+00
0.30000D+03,0.11084D+00,0.53944D+00,0.50862D+00,0.76670D+00,0.62857D+00,0.48021D+00,0.41693D+00,0.53925D+00,0.57943D+00,0.26553D+00,0.36893D+00,0.28090D+00,0.42219D-01,0.44915D+00,0.12371D+00,0.69547D-01,0.19408D+00,0.17141D+00,0.43402D+00,0.15299D+00,0.13012D+00,0.67438D-01,0.75394D-01,0.94854D-01,0.38261D+00,0.10108D+00,0.56931D+00,0.79070D+00,0.15708D+00,0.19342D-01,0.24423D-01,0.16749D+00,0.19052D+00,0.16933D+00,0.32801D+00,0.45564D+00,0.32683D+00,0.36029D-01,0.79747D-01,0.31617D+00,0.65332D+00,0.61225D+00,0.48103D+00,0.42487D+00,0.10045D+00,0.18464D-01,0.30970D-01,0.93686D-01,0.10631D-03,0.38395D-01,0.74883D-01,0.39953D+00
0.35000D+03,0.15082D+00,0.61797D+00,0.58990D+00,0.82432D+00,0.69193D+00,0.57335D+00,0.51445D+00,0.64655D+00,0.65905D+00,0.37224D+00,0.48264D+00,0.38950D+00,0.68228D-01,0.53361D+00,0.18293D+00,0.10172D+00,0.24594D+00,0.24931D+00,0.50932D+00,0.22623D+00,0.19725D+00,0.11034D+00,0.12217D+00,0.14974D+00,0.49685D+00,0.15142D+00,0.68389D+00,0.85582D+00,0.23704D+00,0.35878D-01,0.45046D-01,0.25301D+00,0.27779D+00,0.25547D+00,0.42755D+00,0.57356D+00,0.43916D+00,0.63112D-01,0.12602D+00,0.40126D+00,0.75783D+00,0.72444D+00,0.59773D+00,0.53314D+00,0.14696D+00,0.22739D-01,0.37784D-01,0.14297D+00,0.25138D-03,0.58791D-01,0.10953D+00,0.46165D+00
0.40000D+03,0.19573D+00,0.68626D+00,0.65924D+00,0.86629D+00,0.74052D+00,0.65310D+00,0.60129D+00,0.73473D+00,0.72410D+00,0.48053D+00,0.58786D+00,0.49817D+00,0.10330D+00,0.60912D+00,0.25177D+00,0.14101D+00,0.29755D+00,0.33584D+00,0.57630D+00,0.30927D+00,0.27545D+00,0.16533D+00,0.18125D+00,0.21682D+00,0.60265D+00,0.21001D+00,0.77543D+00,0.90174D+00,0.32825D+00,0.60652D-01,0.75311D-01,0.34950D+00,0.37367D+00,0.35279D+00,0.52206D+00,0.67655D+00,0.54813D+00,0.10076D+00,0.18306D+00,0.48037D+00,0.83566D+00,0.81047D+00,0.69806D+00,0.62978D+00,0.20262D+00,0.26999D-01,0.45150D-01,0.20274D+00,0.54893D-03,0.84617D-01,0.15057D+00,0.51401D+00
0.45000D+03,0.24433D+00,0.74442D+00,0.71771D+00,0.89751D+00,0.77904D+00,0.71972D+00,0.67589D+00,0.80423D+00,0.77701D+00,0.58247D+00,0.67926D+00,0.59914D+00,0.14785D+00,0.67540D+00,0.32711D+00,0.18703D+00,0.34800D+00,0.42574D+00,0.63486D+00,0.39725D+00,0.36033D+00,0.23074D+00,0.25048D+00,0.29299D+00,0.69468D+00,0.27425D+00,0.84464D+00,0.93374D+00,0.42457D+00,0.94900D-01,0.11613D+00,0.44993D+00,0.47170D+00,0.45408D+00,0.60718D+00,0.76105D+00,0.64682D+00,0.14912D+00,0.24863D+00,0.55037D+00,0.89086D+00,0.87287D+00,0.77957D+00,0.71179D+00,0.26605D+00,0.31364D-01,0.53536D-01,0.27097D+00,0.11145D-02,0.11577D+00,0.19692D+00,0.55883D+00
0.50000D+03,0.29519D+00,0.79316D+00,0.76665D+00,0.92115D+00,0.81068D+00,0.77452D+00,0.73841D+00,0.85737D+00,0.81995D+00,0.67282D+00,0.75490D+00,0.68754D+00,0.20145D+00,0.73269D+00,0.40544D+00,0.23897D+00,0.39678D+00,0.51410D+00,0.68529D+00,0.48528D+00,0.44717D+00,0.30382D+00,0.32668D+00,0.37433D+00,0.77079D+00,0.34143D+00,0.89478D+00,0.95574D+00,0.51991D+00,0.13908D+00,0.16737D+00,0.54763D+00,0.56604D+00,0.55247D+00,0.68089D+00,0.82702D+00,0.73125D+00,0.20725D+00,0.31980D+00,0.61011D+00,0.92865D+00,0.91631D+00,0.84286D+00,0.77878D+00,0.33521D+00,0.35999D-01,0.63456D-01,0.34496D+00,0.21170D-02,0.15181D+00,0.24723D+00,0.59802D+00
0.55000D+03,0.34686D+00,0.83350D+00,0.80741D+00,0.93925D+00,0.83748D+00,0.81913D+00,0.78994D+00,0.89711D+00,0.85470D+00,0.74908D+00,0.81523D+00,0.76131D+00,0.26285D+00,0.78154D+00,0.48338D+00,0.29560D+00,0.44370D+00,0.59696D+00,0.72819D+00,0.56920D+00,0.53168D+00,0.38120D+00,0.40622D+00,0.45679D+00,0.83121D+00,0.40911D+00,0.92993D+00,0.97065D+00,0.60919D+00,0.19273D+00,0.22784D+00,0.63739D+00,0.65226D+00,0.64258D+00,0.74293D+00,0.87658D+00,0.80017D+00,0.27323D+00,0.39344D+00,0.65990D+00,0.95385D+00,0.94562D+00,0.89020D+00,0.83196D+00,0.40760D+00,0.41098D-01,0.75429D-01,0.42170D+00,0.37849D-02,0.19199D+00,0.30001D+00,0.63295D+00
0.60000D+03,0.39810D+00,0.86658D+00,0.84127D+00,0.95322D+00,0.86061D+00,0.85520D+00,0.83192D+00,0.92632D+00,0.88279D+00,0.81095D+00,0.86205D+00,0.82055D+00,0.33008D+00,0.82273D+00,0.55805D+00,0.35542D+00,0.48866D+00,0.67159D+00,0.76432D+00,0.64598D+00,0.61049D+00,0.45947D+00,0.48553D+00,0.53677D+00,0.87761D+00,0.47530D+00,0.95392D+00,0.98062D+00,0.68893D+00,0.25448D+00,0.29546D+00,0.71593D+00,0.72762D+00,0.72108D+00,0.79411D+00,0.91271D+00,0.85425D+00,0.34449D+00,0.46663D+00,0.70090D+00,0.97033D+00,0.96495D+00,0.92454D+00,0.87331D+00,0.48062D+00,0.46886D-01,0.89940D-01,0.49822D+00,0.64062D-02,0.23536D+00,0.35383D+00,0.66452D+00
0.65000D+03,0.44788D+00,0.89351D+00,0.86934D+00,0.96402D+00,0.88079D+00,0.88424D+00,0.86585D+00,0.94753D+00,0.90546D+00,0.85959D+00,0.89766D+00,0.86670D+00,0.40076D+00,0.85711D+00,0.62726D+00,0.41680D+00,0.53168D+00,0.73655D+00,0.79458D+00,0.71376D+00,0.68133D+00,0.53552D+00,0.56157D+00,0.61144D+00,0.91232D+00,0.53849D+00,0.96997D+00,0.98722D+00,0.75726D+00,0.32226D+00,0.36756D+00,0.78184D+00,0.79099D+00,0.78663D+00,0.83574D+00,0.93851D+00,0.89534D+00,0.41817D+00,0.53697D+00,0.73462D+00,0.98096D+00,0.97749D+00,0.94881D+00,0.90497D+00,0.55180D+00,0.53611D-01,0.10740D+00,0.57186D+00,0.10319D-01,0.28086D+00,0.40738D+00,0.69334D+00
0.70000D+03,0.49550D+00,0.91531D+00,0.89260D+00,0.97238D+00,0.89845D+00,0.90754D+00,0.89310D+00,0.96277D+00,0.92376D+00,0.89685D+00,0.92436D+00,0.90182D+00,0.47234D+00,0.88556D+00,0.68960D+00,0.47811D+00,0.57273D+00,0.79147D+00,0.81982D+00,0.77181D+00,0.74303D+00,0.60687D+00,0.63202D+00,0.67890D+00,0.93774D+00,0.59765D+00,0.98052D+00,0.99154D+00,0.81380D+00,0.39355D+00,0.44128D+00,0.83521D+00,0.84249D+00,0.83944D+00,0.86926D+00,0.95667D+00,0.92573D+00,0.49149D+00,0.60268D+00,0.76253D+00,0.98775D+00,0.98554D+00,0.96560D+00,0.92895D+00,0.61905D+00,0.61539D-01,0.12810D+00,0.64050D+00,0.15896D-01,0.32738D+00,0.45958D+00,0.71980D+00
0.75000D+03,0.54049D+00,0.93286D+00,0.91186D+00,0.97885D+00,0.91391D+00,0.92620D+00,0.91492D+00,0.97362D+00,0.93851D+00,0.92484D+00,0.94419D+00,0.92807D+00,0.54242D+00,0.90891D+00,0.74438D+00,0.53788D+00,0.61180D+00,0.83675D+00,0.84088D+00,0.82024D+00,0.79532D+00,0.67182D+00,0.69536D+00,0.73814D+00,0.95605D+00,0.65213D+00,0.98738D+00,0.99437D+00,0.85916D+00,0.46571D+00,0.51390D+00,0.87714D+00,0.88315D+00,0.88073D+00,0.89609D+00,0.96935D+00,0.94773D+00,0.56199D+00,0.66259D+00,0.78592D+00,0.99207D+00,0.99067D+00,0.97701D+00,0.94698D+00,0.68079D+00,0.70947D-01,0.15219D+00,0.70263D+00,0.23517D-01,0.37392D+00,0.50962D+00,0.74420D+00
0.80000D+03,0.58257D+00,0.94693D+00,0.92781D+00,0.98384D+00,0.92738D+00,0.94112D+00,0.93233D+00,0.98131D+00,0.95043D+00,0.94553D+00,0.95883D+00,0.94744D+00,0.60896D+00,0.92794D+00,0.79149D+00,0.59485D+00,0.64884D+00,0.87331D+00,0.85849D+00,0.85977D+00,0.83861D+00,0.72936D+00,0.75085D+00,0.78889D+00,0.96909D+00,0.70161D+00,0.99180D+00,0.99621D+00,0.89464D+00,0.53627D+00,0.58309D+00,0.90927D+00,0.91444D+00,0.91224D+00,0.91747D+00,0.97818D+00,0.96339D+00,0.62778D+00,0.71611D+00,0.80582D+00,0.99482D+00,0.99393D+00,0.98468D+00,0.96047D+00,0.73601D+00,0.82102D-01,0.17965D+00,0.75738D+00,0.33547D-01,0.41958D+00,0.55690D+00,0.76672D+00
0.85000D+03,0.62165D+00,0.95817D+00,0.94101D+00,0.98767D+00,0.93906D+00,0.95306D+00,0.94620D+00,0.98674D+00,0.96006D+00,0.96065D+00,0.96960D+00,0.96161D+00,0.67037D+00,0.94334D+00,0.83125D+00,0.64806D+00,0.68380D+00,0.90232D+00,0.87329D+00,0.89143D+00,0.87377D+00,0.77918D+00,0.79838D+00,0.83147D+00,0.97828D+00,0.74600D+00,0.99464D+00,0.99742D+00,0.92179D+00,0.60314D+00,0.64710D+00,0.93340D+00,0.93799D+00,0.93582D+00,0.93445D+00,0.98435D+00,0.97439D+00,0.68754D+00,0.76310D+00,0.82298D+00,0.99658D+00,0.99600D+00,0.98977D+00,0.97052D+00,0.78426D+00,0.95248D-01,0.21033D+00,0.80445D+00,0.46297D-01,0.46362D+00,0.60106D+00,0.78754D+00
0.90000D+03,0.65774D+00,0.96711D+00,0.95192D+00,0.99062D+00,0.94913D+00,0.96260D+00,0.95724D+00,0.99056D+00,0.96785D+00,0.97160D+00,0.97752D+00,0.97193D+00,0.72562D+00,0.95571D+00,0.86428D+00,0.69686D+00,0.71661D+00,0.92500D+00,0.88580D+00,0.91640D+00,0.90185D+00,0.82144D+00,0.83830D+00,0.86656D+00,0.98472D+00,0.78538D+00,0.99646D+00,0.99822D+00,0.94222D+00,0.66473D+00,0.70476D+00,0.95123D+00,0.95540D+00,0.95323D+00,0.94792D+00,0.98868D+00,0.98207D+00,0.74056D+00,0.80375D+00,0.83799D+00,0.99770D+00,0.99733D+00,0.99314D+00,0.97800D+00,0.82551D+00,0.11058D+00,0.24389D+00,0.84402D+00,0.62004D-01,0.50551D+00,0.64193D+00,0.80680D+00
0.95000D+03,0.69091D+00,0.97419D+00,0.96092D+00,0.99287D+00,0.95775D+00,0.97022D+00,0.96602D+00,0.99325D+00,0.97414D+00,0.97949D+00,0.98334D+00,0.97943D+00,0.77420D+00,0.96559D+00,0.89136D+00,0.74088D+00,0.74724D+00,0.94256D+00,0.89646D+00,0.93585D+00,0.92398D+00,0.85667D+00,0.87126D+00,0.89502D+00,0.98923D+00,0.81995D+00,0.99764D+00,0.99875D+00,0.95738D+00,0.72004D+00,0.75551D+00,0.96426D+00,0.96808D+00,0.96593D+00,0.95859D+00,0.99174D+00,0.98739D+00,0.78662D+00,0.83848D+00,0.85126D+00,0.99844D+00,0.99819D+00,0.99536D+00,0.98356D+00,0.86014D+00,0.12824D+00,0.27989D+00,0.87663D+00,0.80810D-01,0.54489D+00,0.67947D+00,0.82460D+00
0.10000D+04,0.72130D+00,0.97980D+00,0.96832D+00,0.99458D+00,0.96509D+00,0.97631D+00,0.97300D+00,0.99515D+00,0.97923D+00,0.98516D+00,0.98762D+00,0.98488D+00,0.81603D+00,0.97341D+00,0.91332D+00,0.78000D+00,0.77564D+00,0.95602D+00,0.90561D+00,0.95085D+00,0.94125D+00,0.88562D+00,0.89810D+00,0.91782D+00,0.99237D+00,0.85001D+00,0.99840D+00,0.99911D+00,0.96852D+00,0.76858D+00,0.79926D+00,0.97372D+00,0.97720D+00,0.97516D+00,0.96705D+00,0.99392D+00,0.99109D+00,0.82589D+00,0.86783D+00,0.86309D+00,0.99892D+00,0.99876D+00,0.99683D+00,0.98770D+00,0.88872D+00,0.14829D+00,0.31781D+00,0.90302D+00,0.10274D+00,0.58158D+00,0.71373D+00,0.84105D+00
0.10500D+04,0.74906D+00,0.98422D+00,0.97440D+00,0.99589D+00,0.97131D+00,0.98118D+00,0.97856D+00,0.99650D+00,0.98335D+00,0.98922D+00,0.99078D+00,0.98884D+00,0.85137D+00,0.97957D+00,0.93097D+00,0.81432D+00,0.80180D+00,0.96629D+00,0.91354D+00,0.96235D+00,0.95462D+00,0.90910D+00,0.91970D+00,0.93589D+00,0.99457D+00,0.87589D+00,0.99890D+00,0.99936D+00,0.97668D+00,0.81033D+00,0.83631D+00,0.98058D+00,0.98371D+00,0.98183D+00,0.97376D+00,0.99550D+00,0.99365D+00,0.85886D+00,0.89240D+00,0.87371D+00,0.99924D+00,0.99913D+00,0.99781D+00,0.99079D+00,0.91196D+00,0.17069D+00,0.35707D+00,0.92406D+00,0.12771D+00,0.61551D+00,0.74486D+00,0.85622D+00
0.11000D+04,0.77434D+00,0.98769D+00,0.97938D+00,0.99688D+00,0.97653D+00,0.98507D+00,0.98297D+00,0.99745D+00,0.98667D+00,0.99215D+00,0.99312D+00,0.99173D+00,0.88074D+00,0.98438D+00,0.94507D+00,0.84408D+00,0.82574D+00,0.97410D+00,0.92047D+00,0.97111D+00,0.96491D+00,0.92798D+00,0.93690D+00,0.95009D+00,0.99611D+00,0.89796D+00,0.99923D+00,0.99954D+00,0.98263D+00,0.84559D+00,0.86720D+00,0.98555D+00,0.98833D+00,0.98666D+00,0.97908D+00,0.99665D+00,0.99544D+00,0.88615D+00,0.91280D+00,0.88331D+00,0.99946D+00,0.99938D+00,0.99847D+00,0.99309D+00,0.93065D+00,0.19536D+00,0.39708D+00,0.94063D+00,0.15551D+00,0.64675D+00,0.77302D+00,0.87019D+00
0.11500D+04,0.79732D+00,0.99042D+00,0.98343D+00,0.99764D+00,0.98089D+00,0.98817D+00,0.98649D+00,0.99814D+00,0.98935D+00,0.99425D+00,0.99485D+00,0.99386D+00,0.90480D+00,0.98811D+00,0.95626D+00,0.86963D+00,0.84751D+00,0.98003D+00,0.92658D+00,0.97778D+00,0.97282D+00,0.94303D+00,0.95051D+00,0.96119D+00,0.99720D+00,0.91663D+00,0.99946D+00,0.99966D+00,0.98698D+00,0.87492D+00,0.89263D+00,0.98916D+00,0.99161D+00,0.99016D+00,0.98330D+00,0.99749D+00,0.99670D+00,0.90847D+00,0.92962D+00,0.89203D+00,0.99961D+00,0.99956D+00,0.99892D+00,0.99480D+00,0.94551D+00,0.22209D+00,0.43727D+00,0.95355D+00,0.18585D+00,0.67541D+00,0.79841D+00,0.88302D+00
0.12000D+04,0.81817D+00,0.99256D+00,0.98673D+00,0.99821D+00,0.98452D+00,0.99063D+00,0.98928D+00,0.99863D+00,0.99151D+00,0.99577D+00,0.99614D+00,0.99542D+00,0.92426D+00,0.99099D+00,0.96512D+00,0.89137D+00,0.86716D+00,0.98455D+00,0.93199D+00,0.98286D+00,0.97888D+00,0.95496D+00,0.96121D+00,0.96982D+00,0.99797D+00,0.93228D+00,0.99961D+00,0.99975D+00,0.99017D+00,0.89899D+00,0.91334D+00,0.99182D+00,0.99393D+00,0.99271D+00,0.98667D+00,0.99812D+00,0.99759D+00,0.92657D+00,0.94341D+00,0.89997D+00,0.99971D+00,0.99968D+00,0.99922D+00,0.99609D+00,0.95724D+00,0.25064D+00,0.47709D+00,0.96357D+00,0.21834D+00,0.70167D+00,0.82125D+00,0.89477D+00
0.12500D+04,0.83704D+00,0.99423D+00,0.98940D+00,0.99864D+00,0.98751D+00,0.99260D+00,0.99151D+00,0.99899D+00,0.99324D+00,0.99688D+00,0.99710D+00,0.99657D+00,0.93984D+00,0.99319D+00,0.97213D+00,0.90972D+00,0.88480D+00,0.98799D+00,0.93684D+00,0.98672D+00,0.98355D+00,0.96439D+00,0.96959D+00,0.97651D+00,0.99852D+00,0.94529D+00,0.99972D+00,0.99981D+00,0.99253D+00,0.91854D+00,0.93006D+00,0.99378D+00,0.99558D+00,0.99457D+00,0.98934D+00,0.99858D+00,0.99823D+00,0.94112D+00,0.95463D+00,0.90724D+00,0.99979D+00,0.99976D+00,0.99944D+00,0.99705D+00,0.96645D+00,0.28070D+00,0.51609D+00,0.97131D+00,0.25255D+00,0.72573D+00,0.84174D+00,0.90551D+00
