time,intC00,intC01,intC02,intC03,intC04,intC05,intC06,intC07,intC08,intC09,intC10,intC11,intC12,intC13,intC14,intC15,intC16,intC17,intC18,intC19,intC20,intC21,intD00,intD01,intD02,intD03,intD04,intD05,intD06,intD07,intD08,intD09,intD10,intD11,intD12,intD13,intD14,intD15,intD16,intD17,intD18,intD19,intD20,intD21
0.165,0.12419965587207,0.027320011573561,0.062077714848205,0.016370667442342,0.055926085275335,0.0050544686526497,0.018522701458554,5.5691863440903e-06,5.5691863440903e-06,0.00013141791238642,0.00036943984788141,0.00012789844090751,4.8616101383399e-05,0.00059927534414889,0.00054371046171735,8.624176475359e-05,0.00040351540420088,0.00016794570575532,0.00032309973003866,1.9881894797158e-05,0.00021374028294274,2.82471823279e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.1675,0.12426955493077,0.027924715417969,0.063093002542105,0.017053360633388,0.05692884116519,0.0052959618937125,0.019297812308013,6.4271360672227e-06,6.4271360672227e-06,0.00014857949390877,0.00040894905237183,0.00014453865012152,5.4442691658596e-05,0.00066051095804083,0.00057142145173667,9.3612805088225e-05,0.00043062529861268,0.00018316765338788,0.00034615102601498,2.2161349666103e-05,0.00023244453666408,3.1751410306507e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.17,0.12433319731212,0.028525467791802,0.064091501651987,0.017743910760068,0.057917684973747,0.0055424728022822,0.020081877449372,7.3891899147824e-06,7.3891899147824e-06,0.00016737993891344,0.00045130109873068,0.00016275813700172,6.0776676814689e-05,0.00072576511741078,0.00059936111525947,0.00010136486772582,0.00045839594841128,0.00019918291420229,0.00036990718178645,2.4630201995434e-05,0.00025203939596461,3.5570697775556e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.1725,0.12439113781165,0.029122207538591,0.065073362845739,0.018441787550613,0.058892627156398,0.0057938929519364,0.020874266883861,8.4641317799921e-06,8.4641317799921e-06,0.00018790455899791,0.00049656768796315,0.00018263776597633,6.7642246266697e-05,0.00079509401252806,0.00062747877045773,0.00010949963438602,0.00048677122716389,0.0002159842858856,0.00039432856672907,2.729698222516e-05,0.00027250694262372,3.9720050910572e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.175,0.12444388397991,0.029714885027948,0.066038753059041,0.019146467484832,0.059853698410315,0.0060501126076221,0.021674358202111,9.6610645985061e-06,9.6610645985061e-06,0.0002102364418747,0.00054481233760826,0.00020425610106726,7.5063162564344e-05,0.00086853923804101,0.00065572490025827,0.00011801784315539,0.00051569319079018,0.00023356119520948,0.00041937320880023,3.0170053907797e-05,0.00029382519325226,4.4214024505913e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.1775,0.12449189982016,0.030303461069366,0.066987853330714,0.01985743483701,0.060800947720462,0.0063110210243821,0.022481537998833,1.0989385875387e-05,1.0989385875387e-05,0.000234455886925,0.00059608995374862,0.00022768886359446,8.3062661782313e-05,0.00094612746754603,0.00068405136709196,0.00012691930323628,0.00054510252210876,0.00025189978432549,0.00044499712083013,3.3257578091927e-05,0.00031596828159887,4.9066630762718e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.18,0.12453560924425,0.030887905903241,0.067920856825094,0.020574182619107,0.061734440541463,0.0065765067249881,0.023295203151484,1.2458761015006e-05,1.2458761015006e-05,0.00026063985931879,0.00065044647475729,0.00025300840949133,9.1663359123502e-05,0.0010278702595661,0.00071241160049076,0.00013620291441478,0.00057493896543231,0.00027098302346661,0.00047115462907845,3.6567479013928e-05,0.0003389066716001,5.4291251520933e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.1825,0.12457539929552,0.0314681982663,0.068837967030223,0.021296213427894,0.062654257109472,0.0068464577573127,0.024114761966791,1.4079094727329e-05,1.4079094727329e-05,0.00028886146870987,0.00070791858862041,0.00028028323200037,0.00010088716043264,0.0011137639933455,0.00074076075817337,0.00014586669078404,0.00060514174692359,0.00029079084775185,0.00049779870036773,4.010741131241e-05,0.00036260739742701,5.9900554740734e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.185,0.12461162314851,0.032044324528273,0.069739396120733,0.022023040199832,0.063560490877933,0.007120761932305,0.024939635199552,1.5860500802795e-05,1.5860500802795e-05,0.00031918947803104,0.000768533524679,0.00030957749502625,0.00011075518020934,0.0012037899312093,0.00076905586152553,0.00015590778825587,0.00063564997697851,0.00031130031560025,0.0005248812644154,4.3884728955157e-05,0.00038703432662371,6.5906415962896e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.1875,0.12464460289575,0.032616277896432,0.07062536347443,0.022754186877592,0.064453247071001,0.0073993070434532,0.025769256948591,1.7813270561461e-05,1.7813270561461e-05,0.00035168784735939,0.0008323089196814,0.00034095060186218,0.00012128766659952,0.0012979144027267,0.00079725590659846,0.00016632253539591,0.0006664030314628,0.00033248578612294,0.00055235352831976,4.7906456043156e-05,0.00041214844235194,7.2319845395106e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.19,0.12467463213228,0.033184057684473,0.071496094331863,0.02348918899222,0.065332641348279,0.0076819810686233,0.026603075435144,1.9947840290245e-05,1.9947840290245e-05,0.00038641531720707,0.00089925275714093,0.00037445680339065,0.00013250393373491,0.0013960891045705,0.00082532195192106,0.0001771064671268,0.0006973409091835,0.00035431911277517,0.00058016628050276,5.2179259630906e-05,0.00043790814074477,7.9150921183776e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.1925,0.12470197834846,0.033747668642108,0.072351818588498,0.024227594164995,0.066198798574582,0.0079686723551654,0.027440553669222,2.2274757985123e-05,2.2274757985123e-05,0.00042342503493551,0.00096936337816422,0.0004101448492045,0.00014442230168271,0.0014982515087935,0.0008532171845524,0.00018825436085668,0.00072840456351703,0.00037676985051183,0.00060827018176727,5.6709424677104e-05,0.00046426953942475,8.6408729340273e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.195,0.1247268851422,0.034307120341744,0.0731927697095,0.024968962533082,0.067051851688505,0.0082592697891665,0.028281170009733,2.4804649713154e-05,2.4804649713154e-05,0.0004627642273045,0.0010426295611614,0.00044805768441479,0.00015706004416465,0.0016043253712595,0.00088090696589435,0.00019976027460816,0.00075953620663242,0.000399805473695,0.00063661604148114,6.1502831215276e-05,0.00049118679335213,9.4101310698416e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.1975,0.12474957426097,0.034862426618611,0.074019183757582,0.025712867103078,0.067891940663663,0.0085536629497151,0.029124418624308,2.7548185902637e-05,2.7548185902637e-05,0.00050447392146697,0.0011190306671787,0.00048823219422172,0.00017043334410672,0.0017142213311595,0.00090835885884338,0.00021161758674321,0.00079067958523647,0.0004233916020484,0.00066515507724826,6.6564933810242e-05,0.00051861241432879,0.00010223561518821,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.2,0.1247702474843,0.035413605060795,0.074831298524828,0.026458894036551,0.068719211556694,0.0088517422490258,0.029969809854852,3.0516047858836e-05,3.0516047858836e-05,0.00054858871601877,0.0011985368470096,0.00053069899763672,0.00018455725698942,0.0018278375919336,0.0009355426378902,0.00022381903690278,0.00082178022722011,0.00044749223203438,0.00069383915676446,7.190074334372e-05,0.00054649759068538,0.00011081746362032,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.2025,0.12478908835701,0.035960676545698,0.075629352759895,0.027206642871662,0.069533815636252,0.0091533990592445,0.030816870494897,3.3718894788061e-05,3.3718894788061e-05,0.00059513660302335,0.0012811093057476,0.00057548229107086,0.00019944568188491,0.0019450606734794,0.00096243028377988,0.0002363567678048,0.00085278565900051,0.00047206997114139,0.0007226210208769,7.751481115107e-05,0.00057479250391716,0.00011985151708842,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.205,0.124806263783,0.036503664819567,0.076413585482501,0.027955726684902,0.070335908587493,0.0094585258267334,0.031665143984826,3.7167331594863e-05,3.7167331594863e-05,0.0006441388412649,0.0013667006200373,0.00062259974185723,0.00021511133999162,0.0020657662252688,0.00098899596432613,0.00024922236757058,0.00088364559372702,0.00049708627270845,0.0007514544871682,8.3411215511322e-05,0.00060344663929798,0.00012934125401286,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.2075,0.12482192548917,0.037042596116885,0.077184235377579,0.028705772196937,0.071125649786741,0.0097670161746042,0.032514190530955,4.0871877696336e-05,4.0871877696336e-05,0.00069560988035064,0.0014552551029715,0.0006720624311625,0.0002315657604099,0.0021898198898941,0.0010152160029368,0.00026240691227643,0.00091431209085062,0.00052250166907228,0.00078029463366717,8.95935504743e-05,0.00063240908778761,0.00013928895477053,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.21,0.12483621136873,0.037577498816526,0.077941540262014,0.029456419826471,0.071903201641324,0.010078764994241,0.033363587154402,4.4842937074378e-05,4.4842937074378e-05,0.00074955733469179,0.00154670921135,0.00072387484517441,0.00024881927284425,0.0023170782066191,0.0010410688363553,0.00027590100845472,0.00094473968784563,0.00054827600099941,0.00080909796254495,9.606491699197e-05,0.00066162883684588,0.00014969569378287,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.2125,0.12484924671241,0.03810840313178,0.078685736617326,0.030207323695978,0.072668728989775,0.010393668526519,0.034212927675524,4.9090769761977e-05,4.9090769761977e-05,0.00080598200585049,0.0016409919898757,0.00077803491293253,0.00026688100686843,0.0024473895446989,0.0010665349630568,0.00028969483529544,0.00097488550511925,0.00057436864155426,0.0008378225438874,0.00010282791630608,0.00069105504807357,0.00016056133886713,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.215,0.12486114533609,0.038635340831461,0.079417059182148,0.030958151593042,0.073422398557895,0.010711624433412,0.035061822639552,5.3625464933525e-05,5.3625464933525e-05,0.00086487795125208,0.0017380255467996,0.00083453408870599,0.00028575889734954,0.002580595056547,0.0010915968836668,0.00030377818632597,0.00100470932535,0.00060073871275065,0.0008664281398416,0.00010988464553082,0.00072063731990748,0.00017188455759627,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.2175,0.12487201061235,0.039158344989524,0.080135740598819,0.031708584890957,0.074164378466402,0.011032531860612,0.035909899188859,5.8456915742376e-05,5.8456915742376e-05,0.00092623259683281,0.001837725555533,0.00089335747641631,0.0003054596955951,0.0027165296412472,0.0011162390346849,0.00031814051037249,0.0010341736486634,0.00062734529353563,0.00089487630961515,0.00011723669535756,0.00075032593390209,0.00018366283035965,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.22,0.1248819364137,0.039677449760735,0.080842011108823,0.032458318432114,0.074894837786165,0.011356291491814,0.036756800887128,6.359479602194e-05,6.359479602194e-05,0.00099002689082406,0.0019400017768216,0.00095448399325883,0.00032598898576405,0.0028550229094199,0.0011404477167136,0.00033277095163123,0.0010632437251816,0.0006541476178563,0.00092313049596286,0.00012488514979865,0.00078007208342664,0.00019589246977102,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.2225,0.12489100797398,0.040192690180141,0.081536098292232,0.033207060377598,0.075613946137263,0.011682805595226,0.037602187500433,6.9048538939754e-05,6.9048538939754e-05,0.0010562354955683,0.0020447585962137,0.001017886569393,0.00034735120606618,0.0029959001410408,0.0011642110183025,0.00034765838870122,0.0010918875665806,0.00068110526176,0.00095115609392713,0.00013283058787864,0.00080982808389203,0.0002085686460316,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.225,0.12489930267481,0.040704101984205,0.082218226846708,0.033954532026274,0.076321873328351,0.012011978062879,0.038445734740032,7.4827317667881e-05,7.4827317667881e-05,0.001124827014017,0.0021518955717396,0.0010835323803498,0.00036954967426651,0.0031389832284547,0.0011875187364278,0.00036279147245248,0.0011200759383506,0.00070817831867321,0.00097892050270583,0.00014107308717469,0.0008395475638925,0.00022168541782432,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.2275,0.12490689076282,0.041211721451643,0.08288861840199,0.034700467606535,0.077018789033051,0.012343714443261,0.039287133971429,8.094002810774e-05,8.094002810774e-05,0.0011957642473783,0.002261307986956,0.0011513831086423,0.00039258661700846,0.0032840915975222,0.0012103622945373,0.00037815866262438,0.0011477823344911,0.00073532756219175,0.0010063931616077,0.00014961222910194,0.00086918563690034,0.0002352357682908,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.23,0.12491383600354,0.041715585262157,0.083547491366123,0.035444614043706,0.077704862500318,0.012677921967786,0.040126091894016,8.7395273683617e-05,8.7395273683617e-05,0.0012690044802555,0.0023728874047805,0.0012213952309611,0.00041646320247385,0.0034310431005586,0.0012327346590052,0.00039374826306807,0.0011749829363816,0.00076251459589375,0.00103354557112,0.00015844710583566,0.00089869905338679,0.00024921164562419,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.2325,0.12492019627705,0.04221573037137,0.084195060800041,0.036186730706002,0.078380262295924,0.013014509571562,0.040962330195348,9.420135219668e-05,9.420135219668e-05,0.0013444997895524,0.0024865222178465,0.0012935203272832,0.00044117957590673,0.0035796548754657,0.0012546302547515,0.00040954845556487,0.0012016565575561,0.00078970198985415,0.0010603513001594,0.00016757632875911,0.00092804633345548,0.00026360400779927,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.235,0.12492602412035,0.042712193900416,0.084831538317401,0.036926589131774,0.079045156072445,0.013353387908917,0.041795585183856,0.00010136624471075,0.00010136624471075,0.0014221973734002,0.0026020981914335,0.0013677054082267,0.00046673489754167,0.0037297441662037,0.0012760448807015,0.00042554733216859,0.0012277845760758,0.00081685340369555,0.0010867859806065,0.00017699803832395,0.00095718788026794,0.00027840287095502,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.2375,0.12493136722082,0.043205013038775,0.085457132006841,0.037663972740605,0.079699710365279,0.013694469364101,0.042625607403559,0.00010889760642231,0.00010889760642231,0.0015020398963964,0.0027194989953771,0.0014438932570253,0.00049312738249477,0.0038811291004923,0.0012969756256795,0.00044173292603467,0.0012533508561473,0.00084393369615358,0.0011128272902346,0.00018670991520953,0.00098608607471098,0.00029359736094408,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.24,0.12493626886519,0.04369422495904,0.086072046374124,0.038398676530735,0.080344090412455,0.014037668057566,0.04345216123406,0.00011680275945066,0.00011680275945066,0.0015839658475185,0.0028386067217185,0.0015220227825856,0.00052035434219633,0.004033629421353,0.0013174207852589,0.00045809324071216,0.0012783416605707,0.00087090902126416,0.0011384549251471,0.00019670919266743,0.0010147053519049,0.00030917576756779,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.2425,0.1249407683476,0.044179866742425,0.086676482301834,0.039130506765074,0.080978459996129,0.014382899848205,0.044275024478907,0.00012508868746923,0.00012508868746923,0.0016679099071879,0.0029593023852173,0.0016020293802145,0.00054841222696768,0.0041870671698129,0.0013373797800177,0.00047461627788682,0.0013027455555252,0.00089774691139696,0.0011636505628203,0.00020699266993857,0.0010430122602787,0.000325125601024,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.245,0.12494490134042,0.044661975313922,0.087270637024547,0.039859280647971,0.081602981303847,0.014730082331886,0.045093987945124,0.00013376203208712,0.00013376203208712,0.0017538033201107,0.0030814664042148,0.0016838452967561,0.00057729666936994,0.0043412673167553,0.0013568530755852,0.00049129006357373,0.0013265533091216,0.0009244163474614,0.0011883978168269,0.00021755672663208,0.0010709755040452,0.0003414336501072,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.2475,0.12494870023118,0.045140587386125,0.087854704117587,0.040584825994734,0.082217814807793,0.015079134836637,0.045908855016501,0.00014282909087884,0.00014282909087884,0.0018415742706899,0.0032049790596959,0.0017673999970633,0.00060700252797968,0.0044960583425446,0.0013758421048051,0.0005081026727675,0.001349757785058,0.00095088781670082,0.0012126821842843,0.00022839733795736,0.0010985659699949,0.00035808604171668,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.25,0.1249521944284,0.0456157394108,0.088428873497658,0.041306980895759,0.08282311916038,0.015429978414777,0.046719441223011,0.00015229581695263,0.00015229581695263,0.0019311482580105,0.0033297209307503,0.0018526205289282,0.00063752393127407,0.0046512727636414,0.0013943491922825,0.00052504225256606,0.0013723538326236,0.00097713335856633,0.0012364909870281,0.00023951009070372,0.001125756739596,0.00037506830124668,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
